island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,species
Biscoe,38.6,17.2,199,3750,FEMALE,Adelie
Biscoe,38.2,20,190,3900,MALE,Adelie
Biscoe,38.1,17,181,3175,FEMALE,Adelie
Biscoe,43.2,19,197,4775,MALE,Adelie
Biscoe,38.1,16.5,198,3825,FEMALE,Adelie
Biscoe,45.6,20.3,191,4600,MALE,Adelie
Biscoe,39.7,17.7,193,3200,FEMALE,Adelie
Biscoe,42.2,19.5,197,4275,MALE,Adelie
Biscoe,39.6,20.7,191,3900,FEMALE,Adelie
Biscoe,42.7,18.3,196,4075,MALE,Adelie
Torgersen,38.6,17,188,2900,FEMALE,Adelie
Torgersen,37.3,20.5,199,3775,MALE,Adelie
Torgersen,35.7,17,189,3350,FEMALE,Adelie
Torgersen,41.1,18.6,189,3325,MALE,Adelie
Torgersen,36.2,17.2,187,3150,FEMALE,Adelie
Torgersen,37.7,19.8,198,3500,MALE,Adelie
Torgersen,40.2,17,176,3450,FEMALE,Adelie
Torgersen,41.4,18.5,202,3875,MALE,Adelie
Torgersen,35.2,15.9,186,3050,FEMALE,Adelie
Torgersen,40.6,19,199,4000,MALE,Adelie
Torgersen,38.8,17.6,191,3275,FEMALE,Adelie
Torgersen,41.5,18.3,195,4300,MALE,Adelie
Torgersen,39,17.1,191,3050,FEMALE,Adelie
Torgersen,44.1,18,210,4000,MALE,Adelie
Torgersen,38.5,17.9,190,3325,FEMALE,Adelie
Torgersen,43.1,19.2,197,3500,MALE,Adelie
Dream,36.8,18.5,193,3500,FEMALE,Adelie
Dream,37.5,18.5,199,4475,MALE,Adelie
Dream,38.1,17.6,187,3425,FEMALE,Adelie
Dream,41.1,17.5,190,3900,MALE,Adelie
Dream,35.6,17.5,191,3175,FEMALE,Adelie
Dream,40.2,20.1,200,3975,MALE,Adelie
Dream,37,16.5,185,3400,FEMALE,Adelie
Dream,39.7,17.9,193,4250,MALE,Adelie
Dream,40.2,17.1,193,3400,FEMALE,Adelie
Dream,40.6,17.2,187,3475,MALE,Adelie
Dream,32.1,15.5,188,3050,FEMALE,Adelie
Dream,40.7,17,190,3725,MALE,Adelie
Dream,37.3,16.8,192,3000,FEMALE,Adelie
Dream,39,18.7,185,3650,MALE,Adelie
Dream,39.2,18.6,190,4250,MALE,Adelie
Dream,36.6,18.4,184,3475,FEMALE,Adelie
Dream,36,17.8,195,3450,FEMALE,Adelie
Dream,37.8,18.1,193,3750,MALE,Adelie
Dream,36,17.1,187,3700,FEMALE,Adelie
Dream,41.5,18.5,201,4000,MALE,Adelie
Dream,46.5,17.9,192,3500,FEMALE,Chinstrap
Dream,50,19.5,196,3900,MALE,Chinstrap
Dream,51.3,19.2,193,3650,MALE,Chinstrap
Dream,45.4,18.7,188,3525,FEMALE,Chinstrap
Dream,52.7,19.8,197,3725,MALE,Chinstrap
Dream,45.2,17.8,198,3950,FEMALE,Chinstrap
Dream,46.1,18.2,178,3250,FEMALE,Chinstrap
Dream,51.3,18.2,197,3750,MALE,Chinstrap
Dream,46,18.9,195,4150,FEMALE,Chinstrap
Dream,51.3,19.9,198,3700,MALE,Chinstrap
Dream,46.6,17.8,193,3800,FEMALE,Chinstrap
Dream,51.7,20.3,194,3775,MALE,Chinstrap
Dream,47,17.3,185,3700,FEMALE,Chinstrap
Dream,52,18.1,201,4050,MALE,Chinstrap
Dream,45.9,17.1,190,3575,FEMALE,Chinstrap
Dream,50.5,19.6,201,4050,MALE,Chinstrap
Dream,50.3,20,197,3300,MALE,Chinstrap
Dream,58,17.8,181,3700,FEMALE,Chinstrap
Dream,46.4,18.6,190,3450,FEMALE,Chinstrap
Dream,49.2,18.2,195,4400,MALE,Chinstrap
Dream,42.4,17.3,181,3600,FEMALE,Chinstrap
Dream,48.5,17.5,191,3400,MALE,Chinstrap
Dream,43.2,16.6,187,2900,FEMALE,Chinstrap
Dream,50.6,19.4,193,3800,MALE,Chinstrap
Dream,46.7,17.9,195,3300,FEMALE,Chinstrap
Dream,52,19,197,4150,MALE,Chinstrap
Dream,50.5,18.4,200,3400,FEMALE,Chinstrap
Dream,49.5,19,200,3800,MALE,Chinstrap
Dream,46.4,17.8,191,3700,FEMALE,Chinstrap
Dream,52.8,20,205,4550,MALE,Chinstrap
Dream,40.9,16.6,187,3200,FEMALE,Chinstrap
Dream,54.2,20.8,201,4300,MALE,Chinstrap
Dream,42.5,16.7,187,3350,FEMALE,Chinstrap
Dream,51,18.8,203,4100,MALE,Chinstrap
Dream,49.7,18.6,195,3600,MALE,Chinstrap
Dream,47.5,16.8,199,3900,FEMALE,Chinstrap
Dream,47.6,18.3,195,3850,FEMALE,Chinstrap
Dream,52,20.7,210,4800,MALE,Chinstrap
Dream,46.9,16.6,192,2700,FEMALE,Chinstrap
Dream,53.5,19.9,205,4500,MALE,Chinstrap
Dream,49,19.5,210,3950,MALE,Chinstrap
Dream,46.2,17.5,187,3650,FEMALE,Chinstrap
Dream,50.9,19.1,196,3550,MALE,Chinstrap
Dream,45.5,17,196,3500,FEMALE,Chinstrap
Dream,50.9,17.9,196,3675,FEMALE,Chinstrap
Dream,50.8,18.5,201,4450,MALE,Chinstrap
Dream,50.1,17.9,190,3400,FEMALE,Chinstrap
Dream,49,19.6,212,4300,MALE,Chinstrap
Dream,51.5,18.7,187,3250,MALE,Chinstrap
Dream,49.8,17.3,198,3675,FEMALE,Chinstrap
Dream,48.1,16.4,199,3325,FEMALE,Chinstrap
Dream,51.4,19,201,3950,MALE,Chinstrap
Dream,45.7,17.3,193,3600,FEMALE,Chinstrap
Dream,50.7,19.7,203,4050,MALE,Chinstrap
Dream,42.5,17.3,187,3350,FEMALE,Chinstrap
Dream,52.2,18.8,197,3450,MALE,Chinstrap
Dream,45.2,16.6,191,3250,FEMALE,Chinstrap
Dream,49.3,19.9,203,4050,MALE,Chinstrap
Dream,50.2,18.8,202,3800,MALE,Chinstrap
Dream,45.6,19.4,194,3525,FEMALE,Chinstrap
Dream,51.9,19.5,206,3950,MALE,Chinstrap
Dream,46.8,16.5,189,3650,FEMALE,Chinstrap
Dream,45.7,17,195,3650,FEMALE,Chinstrap
Dream,55.8,19.8,207,4000,MALE,Chinstrap
Dream,43.5,18.1,202,3400,FEMALE,Chinstrap
Dream,49.6,18.2,193,3775,MALE,Chinstrap
Dream,50.8,19,210,4100,MALE,Chinstrap
Dream,50.2,18.7,198,3775,FEMALE,Chinstrap
Biscoe,46.1,13.2,211,4500,FEMALE,Gentoo
Biscoe,50,16.3,230,5700,MALE,Gentoo
Biscoe,48.7,14.1,210,4450,FEMALE,Gentoo
Biscoe,50,15.2,218,5700,MALE,Gentoo
Biscoe,47.6,14.5,215,5400,MALE,Gentoo
Biscoe,46.5,13.5,210,4550,FEMALE,Gentoo
Biscoe,45.4,14.6,211,4800,FEMALE,Gentoo
Biscoe,46.7,15.3,219,5200,MALE,Gentoo
Biscoe,43.3,13.4,209,4400,FEMALE,Gentoo
Biscoe,46.8,15.4,215,5150,MALE,Gentoo
Biscoe,40.9,13.7,214,4650,FEMALE,Gentoo
Biscoe,49,16.1,216,5550,MALE,Gentoo
Biscoe,45.5,13.7,214,4650,FEMALE,Gentoo
Biscoe,48.4,14.6,213,5850,MALE,Gentoo
Biscoe,45.8,14.6,210,4200,FEMALE,Gentoo
Biscoe,49.3,15.7,217,5850,MALE,Gentoo
Biscoe,42,13.5,210,4150,FEMALE,Gentoo
Biscoe,49.2,15.2,221,6300,MALE,Gentoo
Biscoe,46.2,14.5,209,4800,FEMALE,Gentoo
Biscoe,48.7,15.1,222,5350,MALE,Gentoo
Biscoe,50.2,14.3,218,5700,MALE,Gentoo
Biscoe,45.1,14.5,215,5000,FEMALE,Gentoo
Biscoe,46.5,14.5,213,4400,FEMALE,Gentoo
Biscoe,46.3,15.8,215,5050,MALE,Gentoo
Biscoe,42.9,13.1,215,5000,FEMALE,Gentoo
Biscoe,46.1,15.1,215,5100,MALE,Gentoo
Biscoe,47.8,15,215,5650,MALE,Gentoo
Biscoe,48.2,14.3,210,4600,FEMALE,Gentoo
Biscoe,50,15.3,220,5550,MALE,Gentoo
Biscoe,47.3,15.3,222,5250,MALE,Gentoo
Biscoe,42.8,14.2,209,4700,FEMALE,Gentoo
Biscoe,45.1,14.5,207,5050,FEMALE,Gentoo
Biscoe,59.6,17,230,6050,MALE,Gentoo
Biscoe,49.1,14.8,220,5150,FEMALE,Gentoo
Biscoe,48.4,16.3,220,5400,MALE,Gentoo
Biscoe,42.6,13.7,213,4950,FEMALE,Gentoo
Biscoe,44.4,17.3,219,5250,MALE,Gentoo
Biscoe,44,13.6,208,4350,FEMALE,Gentoo
Biscoe,48.7,15.7,208,5350,MALE,Gentoo
Biscoe,42.7,13.7,208,3950,FEMALE,Gentoo
Biscoe,49.6,16,225,5700,MALE,Gentoo
Biscoe,45.3,13.7,210,4300,FEMALE,Gentoo
Biscoe,49.6,15,216,4750,MALE,Gentoo
Biscoe,50.5,15.9,222,5550,MALE,Gentoo
Biscoe,43.6,13.9,217,4900,FEMALE,Gentoo
Biscoe,45.5,13.9,210,4200,FEMALE,Gentoo
Biscoe,50.5,15.9,225,5400,MALE,Gentoo
Biscoe,44.9,13.3,213,5100,FEMALE,Gentoo
Biscoe,45.2,15.8,215,5300,MALE,Gentoo
Biscoe,46.6,14.2,210,4850,FEMALE,Gentoo
Biscoe,48.5,14.1,220,5300,MALE,Gentoo
Biscoe,45.1,14.4,210,4400,FEMALE,Gentoo
Biscoe,50.1,15,225,5000,MALE,Gentoo
Biscoe,46.5,14.4,217,4900,FEMALE,Gentoo
Biscoe,45,15.4,220,5050,MALE,Gentoo
Biscoe,43.8,13.9,208,4300,FEMALE,Gentoo
Biscoe,45.5,15,220,5000,MALE,Gentoo
Biscoe,43.2,14.5,208,4450,FEMALE,Gentoo
Biscoe,50.4,15.3,224,5550,MALE,Gentoo
Biscoe,45.3,13.8,208,4200,FEMALE,Gentoo
Biscoe,46.2,14.9,221,5300,MALE,Gentoo
Biscoe,45.7,13.9,214,4400,FEMALE,Gentoo
Biscoe,54.3,15.7,231,5650,MALE,Gentoo
Biscoe,45.8,14.2,219,4700,FEMALE,Gentoo
Biscoe,49.8,16.8,230,5700,MALE,Gentoo
Biscoe,49.5,16.2,229,5800,MALE,Gentoo
Biscoe,43.5,14.2,220,4700,FEMALE,Gentoo
Biscoe,50.7,15,223,5550,MALE,Gentoo
Biscoe,47.7,15,216,4750,FEMALE,Gentoo
Biscoe,46.4,15.6,221,5000,MALE,Gentoo
Biscoe,48.2,15.6,221,5100,MALE,Gentoo
Biscoe,46.5,14.8,217,5200,FEMALE,Gentoo
Biscoe,46.4,15,216,4700,FEMALE,Gentoo
Biscoe,48.6,16,230,5800,MALE,Gentoo
Biscoe,47.5,14.2,209,4600,FEMALE,Gentoo
Biscoe,51.1,16.3,220,6000,MALE,Gentoo
Biscoe,45.2,13.8,215,4750,FEMALE,Gentoo
Biscoe,45.2,16.4,223,5950,MALE,Gentoo
Biscoe,49.1,14.5,212,4625,FEMALE,Gentoo
Biscoe,52.5,15.6,221,5450,MALE,Gentoo
Biscoe,47.4,14.6,212,4725,FEMALE,Gentoo
Biscoe,50,15.9,224,5350,MALE,Gentoo
Biscoe,44.9,13.8,212,4750,FEMALE,Gentoo
Biscoe,50.8,17.3,228,5600,MALE,Gentoo
Biscoe,43.4,14.4,218,4600,FEMALE,Gentoo
Biscoe,51.3,14.2,218,5300,MALE,Gentoo
Biscoe,47.5,14,212,4875,FEMALE,Gentoo
Biscoe,52.1,17,230,5550,MALE,Gentoo
Biscoe,47.5,15,218,4950,FEMALE,Gentoo
Biscoe,52.2,17.1,228,5400,MALE,Gentoo
Biscoe,45.5,14.5,212,4750,FEMALE,Gentoo
Biscoe,49.5,16.1,224,5650,MALE,Gentoo
Biscoe,44.5,14.7,214,4850,FEMALE,Gentoo
Biscoe,50.8,15.7,226,5200,MALE,Gentoo
Biscoe,49.4,15.8,216,4925,MALE,Gentoo
Biscoe,46.9,14.6,222,4875,FEMALE,Gentoo
Biscoe,48.4,14.4,203,4625,FEMALE,Gentoo
Biscoe,51.1,16.5,225,5250,MALE,Gentoo
Biscoe,48.5,15,219,4850,FEMALE,Gentoo
Biscoe,55.9,17,228,5600,MALE,Gentoo
Biscoe,47.2,15.5,215,4975,FEMALE,Gentoo
Biscoe,49.1,15,228,5500,MALE,Gentoo
Biscoe,46.8,16.1,215,5500,MALE,Gentoo
Biscoe,41.7,14.7,210,4700,FEMALE,Gentoo
Biscoe,53.4,15.8,219,5500,MALE,Gentoo
Biscoe,43.3,14,208,4575,FEMALE,Gentoo
Biscoe,48.1,15.1,209,5500,MALE,Gentoo
Biscoe,50.5,15.2,216,5000,FEMALE,Gentoo
Biscoe,49.8,15.9,229,5950,MALE,Gentoo
Biscoe,43.5,15.2,213,4650,FEMALE,Gentoo
Biscoe,51.5,16.3,230,5500,MALE,Gentoo
Biscoe,46.2,14.1,217,4375,FEMALE,Gentoo
Biscoe,55.1,16,230,5850,MALE,Gentoo
Biscoe,44.5,15.7,217,4875,.,Gentoo
Biscoe,48.8,16.2,222,6000,MALE,Gentoo
Biscoe,47.2,13.7,214,4925,FEMALE,Gentoo
Biscoe,46.8,14.3,215,4850,FEMALE,Gentoo
Biscoe,50.4,15.7,222,5750,MALE,Gentoo
Biscoe,45.2,14.8,212,5200,FEMALE,Gentoo
Biscoe,49.9,16.1,213,5400,MALE,Gentoo
Dream,49.88478344,18.83509281,198.9006188,3786.257734,MALE,Chinstrap
Dream,46.52467168,17.22405579,198.5759442,3921.20279,MALE,Chinstrap
Dream,45.89854467,17.10465704,189.9941787,3574.854467,FEMALE,Chinstrap
Dream,45.95424261,18.29691447,190.0154277,3512.403577,FEMALE,Chinstrap
Dream,49.36000882,17.7150022,190.4624945,3400,FEMALE,Chinstrap
Dream,43.10030978,17.03591043,187,3210.37882,FEMALE,Chinstrap
Dream,40.97222984,16.61618945,187.0996274,3201.245342,FEMALE,Chinstrap
Dream,49.14958915,18.55287598,199.2849226,4374.794573,MALE,Chinstrap
Dream,41.00099493,16.62000843,187,3200.476391,FEMALE,Chinstrap
Dream,51.81031074,18.96206215,198.1381355,4140.515537,MALE,Chinstrap
Dream,50.55762565,18.64811766,202.4811766,4429.802138,MALE,Chinstrap
Dream,45.80945298,17.38975046,189.6378119,3565.945298,FEMALE,Chinstrap
Dream,49.51064507,18.18808601,193,3775.744624,MALE,Chinstrap
Dream,50.76011878,19.27916852,207.2083148,4080.059392,MALE,Chinstrap
Dream,47.48449389,16.73372962,190.1686481,3654.173743,FEMALE,Chinstrap
Dream,51.34401725,19.01999384,200.8000616,3948.000616,MALE,Chinstrap
Dream,42.5,17.27846654,187,3350,FEMALE,Chinstrap
Dream,52.51329815,20.25086412,206.7918866,4639.594329,MALE,Chinstrap
Dream,49.55959159,19.03521321,199.8374775,3799.322823,MALE,Chinstrap
Dream,50.6091013,19.65455065,202.091013,4050,MALE,Chinstrap
Dream,45.80053236,19.0657794,193.5543725,3519.429657,FEMALE,Chinstrap
Dream,51.66808505,19.15106379,202.7361701,4493.404253,MALE,Chinstrap
Dream,48.02994675,17.54331558,189.2032084,3250,FEMALE,Chinstrap
Dream,46.87999191,16.54799514,189.0711039,3650,FEMALE,Chinstrap
Dream,46.07328041,18.61119932,192.9482658,3511.853322,FEMALE,Chinstrap
Dream,49.47146598,19.79712041,203.8001746,4055.715533,MALE,Chinstrap
Dream,48.98607227,17.56874328,195.631937,3665.798424,FEMALE,Chinstrap
Dream,51.99788565,19.57710656,196.3313197,3722.213832,FEMALE,Chinstrap
Dream,49.89462456,18.88725013,201.1274987,3800,MALE,Chinstrap
Dream,47.38254546,18.19127273,194.5650909,3839.127273,MALE,Chinstrap
Dream,48.21806765,18.78553946,195.8433709,3300,FEMALE,Chinstrap
Dream,50.27501935,18.50285278,203.4148035,3931.534311,MALE,Chinstrap
Dream,50.44580774,18.91075323,195.6215065,3568.924677,FEMALE,Chinstrap
Dream,46.787158,16.52140333,188.9571933,3650,FEMALE,Chinstrap
Dream,57.88724745,17.84254813,181.340385,3700.531852,FEMALE,Chinstrap
Dream,51.77921781,19.37921781,204.7921781,3950,MALE,Chinstrap
Dream,43.29043896,16.64989736,186.7193274,2910.915046,FEMALE,Chinstrap
Dream,50.19225892,18.9107107,193,3789.806473,MALE,Chinstrap
Dream,44.25081992,17.55011713,190.3348951,3329.156906,FEMALE,Chinstrap
Dream,45.86609091,17.13390909,190.5086363,3579.238636,FEMALE,Chinstrap
Dream,51.76861786,19.36861786,204.6861786,3950,MALE,Chinstrap
Dream,47.13241852,17.97206975,194.2793025,3295.49564,FEMALE,Chinstrap
Dream,50.76441509,19.50675473,203,4060.735848,MALE,Chinstrap
Dream,49.77756741,18.88104254,199.2069503,3790.086878,MALE,Chinstrap
Dream,47.28942456,17.29647485,189.6733812,3250,FEMALE,Chinstrap
Dream,49.28267272,18.01624043,196.564578,3471.771099,FEMALE,Chinstrap
Dream,54.81262081,19.35827773,205.4409802,4012.991831,MALE,Chinstrap
Dream,43.51529237,16.6,187.4260708,2882.957169,FEMALE,Chinstrap
Dream,50.98391291,18.31956456,196.4195646,3680.244557,FEMALE,Chinstrap
Dream,51.67456926,19.43728463,201.8738035,4503.107053,MALE,Chinstrap
Dream,45.00894346,17.3,190.4870671,3600,FEMALE,Chinstrap
Dream,48.04014348,18.34970519,199.374263,3950,MALE,Chinstrap
Dream,54.05526307,17.62069378,182.4344498,3700,FEMALE,Chinstrap
Dream,45.41022755,18.52613157,188.8182044,3522.443111,FEMALE,Chinstrap
Dream,50.44556608,18.91065253,195.6213051,3568.934747,FEMALE,Chinstrap
Dream,45.59420293,19.26087021,194.1159415,3523.550731,FEMALE,Chinstrap
Dream,46.57349362,17.72399402,187,3226.761762,FEMALE,Chinstrap
Dream,49.25318728,18.34656517,200.3562322,3400,FEMALE,Chinstrap
Dream,48.63458419,17.27477412,198.5140144,3318.92518,FEMALE,Chinstrap
Dream,49.24289256,18.22230413,195.0514711,4399.142149,MALE,Chinstrap
Dream,51.94525566,19.5034812,206.011604,3950.580201,MALE,Chinstrap
Dream,50.14344498,18.2,194.2786941,3767.008162,MALE,Chinstrap
Dream,51.16034774,19.84014903,197.8004968,3700,FEMALE,Chinstrap
Dream,54.82051437,19.72465495,206.7488498,3987.442492,MALE,Chinstrap
Dream,55.71449063,19.79342236,206.9780745,3998.903726,MALE,Chinstrap
Dream,45.70302013,17.89735873,198.2433968,3950,MALE,Chinstrap
Dream,47.78703934,17.59602363,193.8556692,3689.801181,FEMALE,Chinstrap
Dream,50.76167941,19.21117239,204.6408112,3950,MALE,Chinstrap
Dream,49.81530683,19.18631767,199.1400723,3796.416968,MALE,Chinstrap
Dream,46.81302345,16.50347292,189.0390703,3650.108529,FEMALE,Chinstrap
Dream,48.31681255,19.4405896,208.1286045,4265.840628,MALE,Chinstrap
Dream,44.74381997,17.34109142,191.2739428,3323.287857,FEMALE,Chinstrap
Dream,50.63084693,18.37843649,196.765798,3461.710098,FEMALE,Chinstrap
Dream,53.15380645,19.94945622,205,4524.72811,MALE,Chinstrap
Dream,51.01789538,19.7419144,193.3799049,3790.502378,MALE,Chinstrap
Dream,47.5014012,18.16056048,193,3800,MALE,Chinstrap
Dream,50.21784996,18.82677494,201.5983758,3800,MALE,Chinstrap
Dream,51.01518061,18.52121897,199.0908577,3415.152371,FEMALE,Chinstrap
Biscoe,49.90076564,15.51715164,219.709035,5550,MALE,Gentoo
Biscoe,45.47238962,13.7,213.6244325,4934.389187,FEMALE,Gentoo
Biscoe,44.42044372,14.1171553,208.6204437,4268.977814,FEMALE,Gentoo
Biscoe,43.3288766,14.11550641,210.8876603,4582.219151,FEMALE,Gentoo
Biscoe,42.83698559,14.2,209.5812022,4700,FEMALE,Gentoo
Biscoe,46.85410745,15.40616489,220.5136915,5260.616489,MALE,Gentoo
Biscoe,50.9957279,16.10606544,224.7415614,5550,MALE,Gentoo
Biscoe,45.16538627,13.9,209.6063368,4219.683161,FEMALE,Gentoo
Biscoe,50.16191842,15.40239803,219.6191842,5720.239803,MALE,Gentoo
Biscoe,54.98379038,16.61984156,224.5691651,6022.845826,MALE,Gentoo
Biscoe,47.02910526,15.3,220.6455263,5227.425439,MALE,Gentoo
Biscoe,47.55347372,14.80463163,214.0463163,4737.789477,FEMALE,Gentoo
Biscoe,48.33363809,14.36681904,205.3226669,4616.704761,FEMALE,Gentoo
Biscoe,49.13961675,15.55145236,215.763288,4925,FEMALE,Gentoo
Biscoe,49.19962627,15.577321,216.5538945,5850,MALE,Gentoo
Biscoe,48.27528617,13.95298367,210.1633515,4458.167574,FEMALE,Gentoo
Biscoe,45.74475998,15.16317332,220.2719555,5000,FEMALE,Gentoo
Biscoe,46.63071699,14.54173585,214.4724528,4750,FEMALE,Gentoo
Biscoe,47.16688618,13.56930675,210.5896592,4479.482958,FEMALE,Gentoo
Biscoe,45.64328873,14.34926196,209.3731549,4200,FEMALE,Gentoo
Biscoe,52.94901509,16.03024076,230.6997811,5665.010943,MALE,Gentoo
Biscoe,48.66151934,15.72391038,213.3673726,5531.195519,MALE,Gentoo
Biscoe,47.12650561,14.18221455,208.9110728,4597.776819,FEMALE,Gentoo
Biscoe,50.93871433,16.06990488,225.5376189,5223.119055,MALE,Gentoo
Biscoe,48.07302487,14.45338369,203.6672962,4626.66824,FEMALE,Gentoo
Biscoe,46.09530404,15.89639148,220.2021749,5922.021749,MALE,Gentoo
